"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","Example #3","authenticated-tests","2026-03-24","passed","2026-03-24","Edit Patient  - Dialog Box vaildation > Edit Patient  - Function test case > Verify placeholders","tests/features/EditPatient.feature.spec.js","",""
"","8347","Creating the storageState","setup","2026-03-24","passed","2026-03-24","","../tests/setup/storageState.js","",""
"","424","Example #1","authenticated-tests","2026-03-24","passed","2026-03-24","Edit Patient  - Dialog Box vaildation > Edit Patient  - Dialog Box vaildation > Validate the Presence of buttons","tests/features/EditPatient.feature.spec.js","",""
"","348","Example #2","authenticated-tests","2026-03-24","passed","2026-03-24","Edit Patient  - Dialog Box vaildation > Edit Patient  - Dialog Box vaildation > Validate the Presence of buttons","tests/features/EditPatient.feature.spec.js","",""
"","2","Example #2","authenticated-tests","2026-03-24","passed","2026-03-24","Edit Patient  - Dialog Box vaildation > Edit Patient  - Function test case > Verify placeholders","tests/features/EditPatient.feature.spec.js","",""
"","5","Example #4","authenticated-tests","2026-03-24","passed","2026-03-24","Edit Patient  - Dialog Box vaildation > Edit Patient  - Function test case > Verify placeholders","tests/features/EditPatient.feature.spec.js","",""
"","5","Example #1","authenticated-tests","2026-03-24","passed","2026-03-24","Edit Patient  - Dialog Box vaildation > Edit Patient  - Function test case > Verify placeholders","tests/features/EditPatient.feature.spec.js","",""
"","1061","Title of the dialoge box","authenticated-tests","2026-03-24","passed","2026-03-24","Edit Patient  - Dialog Box vaildation > Edit Patient  - Dialog Box vaildation","tests/features/EditPatient.feature.spec.js","",""
